FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,Region0R,Region1G
1712,4420.569568,0,80040013.97,0.003921569,0.003921569
1713,4420.632064,4,80040073.97,0.034447643,0.628915441
1714,4420.69456,1,80040143.97,0.021995445,0.017531863
1715,4420.757056,0,80040203.97,0.003921569,0.003921569
1716,4420.819584,0,80040263.97,0.003921569,0.003921569
1717,4420.882048,0,80040323.97,0.003921569,0.003921569
1718,4420.944576,0,80040393.97,0.003921569,0.003921569
1719,4421.007072,0,80040453.97,0.003868574,0.003921569
1720,4421.069568,0,80040513.97,0.003921569,0.003921569
1721,4421.132064,0,80040573.97,0.003921569,0.003921569
1722,4421.19456,0,80040643.97,0.004026125,0.003921569
1723,4421.257056,0,80040703.97,0.003923001,0.003921569
1724,4421.319552,0,80040763.98,0.003921569,0.003921569
1725,4421.38208,0,80040823.98,0.003921569,0.003921569
1726,4421.444576,0,80040893.98,0.003921569,0.003921569
1727,4421.507072,0,80040953.98,0.003921569,0.003921569
1728,4421.569568,0,80041013.98,0.003921569,0.003921569
1729,4421.632064,4,80041073.98,0.034283648,0.628988971
1730,4421.69456,1,80041143.98,0.022103582,0.017605392
1731,4421.757056,0,80041203.98,0.003921569,0.003921569
1732,4421.819584,0,80041263.98,0.003921569,0.003921569
1733,4421.88208,0,80041323.98,0.003921569,0.003921569
1734,4421.944576,0,80041393.98,0.003921569,0.003921569
1735,4422.007072,0,80041453.98,0.003921569,0.003921569
1736,4422.069568,0,80041513.98,0.003921569,0.003921569
1737,4422.132064,0,80041573.99,0.003921569,0.003921569
1738,4422.19456,0,80041643.99,0.004024692,0.003921569
1739,4422.257056,0,80041703.99,0.003868574,0.003921569
1740,4422.319552,0,80041763.99,0.003921569,0.003921569
1741,4422.382048,0,80041823.99,0.003921569,0.003921569
1742,4422.444576,0,80041893.99,0.003921569,0.003921569
1743,4422.507072,0,80041953.99,0.003921569,0.003921569
1744,4422.569568,0,80042013.99,0.003921569,0.003921569
1745,4422.632064,4,80042073.99,0.034603045,0.629021446
1746,4422.69456,1,80042143.99,0.022105014,0.017563113
1747,4422.757056,0,80042203.99,0.003921569,0.003921569
1748,4422.819584,0,80042264,0.003921569,0.003921569
1749,4422.88208,0,80042324,0.003868574,0.003921569
1750,4422.944576,0,80042394,0.003921569,0.003921569
1751,4423.007072,0,80042454.01,0.003921569,0.003921569
1752,4423.069568,0,80042514,0.003921569,0.003921569
1753,4423.132064,0,80042574.01,0.003921569,0.003921569
1754,4423.19456,0,80042644,0.004029705,0.003921569
1755,4423.257056,0,80042704,0.003922285,0.003921569
1756,4423.319584,0,80042764,0.003921569,0.003921569
1757,4423.382048,0,80042824,0.003921569,0.003921569
1758,4423.444576,0,80042894,0.003921569,0.003921569
1759,4423.507072,0,80042954,0.003868574,0.003921569
1760,4423.569568,0,80043014.01,0.003921569,0.003921569
1761,4423.632064,4,80043074.01,0.034673226,0.628798407
1762,4423.69456,1,80043144.01,0.022086395,0.017561275
1763,4423.757056,0,80043204.01,0.003921569,0.003921569
1764,4423.819552,0,80043264.01,0.003921569,0.003921569
1765,4423.88208,0,80043324.02,0.003921569,0.003921569
1766,4423.944576,0,80043394.01,0.003921569,0.003921569
1767,4424.007072,0,80043454.02,0.003921569,0.003921569
1768,4424.069568,0,80043514.03,0.003921569,0.003921569
