FrameCounter,SystemTimestamp,LedState,Timestamp,Region0R,Region1G
100,2576.830528,0,78196292.07,0.003921569,0.003921569
101,2576.893024,0,78196362.06,0.003921569,0.003921569
102,2576.95552,0,78196422.06,0.003921569,0.003921569
103,2577.018016,0,78196482.06,0.003921569,0.003921569
104,2577.080512,0,78196542.06,0.003921569,0.003921569
105,2577.143008,0,78196612.07,0.003921569,0.003921569
106,2577.205504,0,78196672.07,0.003921569,0.003921569
107,2577.268,0,78196732.07,0.003922285,0.003921569
108,2577.330528,0,78196792.08,0.003921569,0.003921569
109,2577.393024,0,78196862.08,0.003868574,0.003921569
110,2577.45552,0,78196922.07,0.003921569,0.003921569
111,2577.518016,0,78196982.07,0.003921569,0.003921569
112,2577.580512,0,78197042.08,0.003921569,0.003921569
113,2577.643008,2,78197112.08,0.010093241,0.027587623
114,2577.705504,1,78197172.07,0.02140678,0.018675858
115,2577.768,0,78197232.07,0.003921569,0.003921569
116,2577.830528,0,78197292.08,0.003921569,0.003921569
117,2577.892992,0,78197362.08,0.003921569,0.003921569
118,2577.95552,0,78197422.08,0.003921569,0.003921569
119,2578.018016,0,78197482.07,0.003868574,0.003921569
120,2578.080512,0,78197542.09,0.003921569,0.003921569
121,2578.143008,0,78197612.07,0.003921569,0.003921569
122,2578.205504,0,78197672.07,0.003921569,0.003921569
123,2578.268,0,78197732.08,0.003923001,0.003921569
124,2578.330496,0,78197792.09,0.003921569,0.003921569
125,2578.393024,0,78197862.09,0.003921569,0.003921569
126,2578.45552,0,78197922.08,0.003921569,0.003921569
127,2578.518016,0,78197982.09,0.003921569,0.003921569
128,2578.580512,0,78198042.1,0.003921569,0.003921569
129,2578.643008,2,78198112.1,0.010032369,0.027613971
130,2578.705504,1,78198172.09,0.021449749,0.018606618
131,2578.768,0,78198232.09,0.003921569,0.003921569
132,2578.830528,0,78198292.1,0.003921569,0.003921569
133,2578.893024,0,78198362.1,0.003921569,0.003921569
134,2578.95552,0,78198422.1,0.003921569,0.003921569
135,2579.018016,0,78198482.1,0.003921569,0.003921569
136,2579.080512,0,78198542.1,0.003921569,0.003921569
137,2579.143008,0,78198612.09,0.003921569,0.003921569
138,2579.205504,0,78198672.1,0.003921569,0.003921569
139,2579.268,0,78198732.1,0.003868574,0.003921569
140,2579.330528,0,78198792.1,0.003921569,0.003921569
141,2579.393024,0,78198862.11,0.003921569,0.003921569
142,2579.45552,0,78198922.1,0.003921569,0.003921569
