Item1,Item2
0,78190234.700800002
1,78190296.524800003
2,78190359.001599997
3,78190421.452800006
4,78190483.9296
5,78190546.431999996
6,78190609.075200006
7,78190671.475199997
8,78190734.118400007
9,78190796.569600001
10,78190859.020800009
11,78190921.446400002
12,78190983.910400003
13,78191046.4384
14,78191109.132799998
15,78191171.596799999
16,78191234.150399998
17,78191296.422399998
18,78191359.104000002
19,78191421.504000008
20,78191483.980800003
21,78191546.534400001
22,78191609.190400004
23,78191671.73120001
24,78191734.067200005
25,78191796.7104
26,78191859.123199999
27,78191921.535999998
28,78191984.038400009
29,78192046.540800005
30,78192109.22240001
31,78192171.711999997
32,78192234.163200006
33,78192296.537600011
34,78192359.206400007
35,78192421.580799997
36,78192484.083200008
37,78192546.739200011
38,78192609.2544
39,78192671.641599998
40,78192734.515200004
41,78192796.60800001
42,78192859.238399997
43,78192921.817599997
44,78192984.320000008
45,78193046.924800009
46,78193109.209600002
47,78193171.711999997
48,78193234.316799998
49,78193296.729599997
50,78193359.244800001
51,78193421.683200002
52,78193484.211199999
53,78193546.905599996
54,78193609.369599998
55,78193671.705600008
56,78193734.592000008
57,78193796.736000001
58,78193859.315200001
59,78193922.086400002
60,78193984.422399998
61,78194046.924800009
62,78194109.427200004
63,78194171.96800001
64,78194234.636800006
65,78194296.84480001
66,78194359.680000007
67,78194422.003200009
68,78194484.44160001
69,78194546.88000001
70,78194609.484800011
71,78194671.961600006
72,78194734.553599998
73,78194796.864000008
74,78194859.366400003
75,78194921.920000002
76,78194984.537600011
77,78195047.0528
78,78195109.516800001
79,78195171.916800007
80,78195234.431999996
81,78195297.126400009
82,78195359.5264
83,78195422.272
84,78195484.492799997
85,78195547.110400006
86,78195609.702399999
87,78195671.961600006
88,78195734.502400011
89,78195797.107199997
90,78195859.635200009
91,78195922.009599999
92,78195984.537600011
93,78196047.040000007
94,78196109.657600001
95,78196172.0704
96,78196234.57280001
97,78196297.139200002
98,78196359.564800009
99,78196422.182400003
100,78196484.60800001
101,78196547.225600004
102,78196609.753600001
103,78196672.128000006
104,78196734.64320001
105,78196797.120000005
106,78196859.776000008
107,78196922.175999999
108,78196984.67840001
109,78197047.142399997
110,78197109.785600007
111,78197172.13440001
112,78197234.71360001
113,78197297.139200002
114,78197359.859200001
115,78197422.284800008
116,78197484.91520001
117,78197547.238399997
118,78197609.93280001
119,78197672.627200007
120,78197734.809600011
121,78197797.260800004
122,78197859.788800001
123,78197922.598399997
124,78197984.98560001
125,78198047.257600009
126,78198109.875200003
127,78198172.300800011
128,78198234.944000006
129,78198297.292800009
130,78198359.936000004
131,78198422.297600001
132,78198484.953600004
133,78198547.302400008
134,78198610.060800001
135,78198672.320000008
136,78198735.078400001
137,78198797.38880001
138,78198860.044799998
139,78198922.393600002
140,78198985.139200002
141,78199047.552000001
142,78199109.926400006
143,78199172.403200001
144,78199235.200000003
145,78199297.395199999
146,78199360.255999997
147,78199422.604800001
148,78199485.08160001
149,78199547.456
150,78199610.022400007
151,78199672.4736
152,78199735.11680001
153,78199797.606399998
154,78199859.993600011
155,78199922.585600004
156,78199985.177599996
157,78200047.513600007
158,78200110.16960001
159,78200172.697600007
160,78200235.033600003
161,78200297.702399999
162,78200360.179200009
163,78200422.515200004
164,78200485.196800008
165,78200547.571199998
166,78200610.214400008
167,78200672.857600003
168,78200735.2192
169,78200797.734400004
170,78200860.262400001
171,78200922.611200005
172,78200985.164800003
173,78201047.654400006
174,78201110.297600001
175,78201172.620800003
176,78201235.18720001
177,78201297.779200003
178,78201360.128000006
179,78201422.681600004
180,78201485.3248
181,78201547.903999999
182,78201610.214400008
183,78201672.716800004
184,78201735.372800007
185,78201797.900800005
186,78201860.351999998
187,78201922.918400005
188,78201985.203199998
189,78202047.89760001
190,78202110.451200008
191,78202172.761600003
192,78202235.404799998
193,78202297.894400001
194,78202360.422399998
195,78202422.796800002
196,78202485.478400007
197,78202547.955200002
198,78202610.470400006
199,78202672.793600008
200,78202735.449600011
201,78202797.836800009
202,78202860.339200005
203,78202922.816
204,78202985.382400006
205,78203048.025600001
206,78203110.527999997
207,78203172.928000003
208,78203235.558400005
209,78203297.843199998
210,78203360.524800003
211,78203422.924800009
212,78203485.580799997
213,78203547.955200002
214,78203610.431999996
215,78203672.998400003
216,78203735.59040001
217,78203797.926400006
218,78203860.60800001
219,78203922.956799999
220,78203985.45920001
221,78204047.936000004
222,78204110.502400011
223,78204173.171200007
224,78204235.532800004
225,78204297.996800005
226,78204360.524800003
227,78204423.167999998
228,78204485.644800007
229,78204548.198400006
230,78204610.790399998
231,78204673.113600001
232,78204735.89760001
233,78204798.156800002
234,78204860.60800001
235,78204923.161600009
236,78204985.664000005
237,78205048.038400009
238,78205110.732800007
239,78205173.260800004
240,78205235.635200009
241,78205298.124799997
242,78205360.768000007
243,78205423.155200005
244,78205485.760000005
245,78205548.288000003
246,78205610.71360001
247,78205673.139200002
248,78205735.654400006
249,78205798.156800002
250,78205860.697600007
251,78205923.174400002
252,78205985.715200007
253,78206048.320000008
254,78206110.784000009
255,78206173.260800004
256,78206235.737599999
257,78206298.214400008
258,78206360.908800006
259,78206423.347200006
260,78206485.849600002
261,78206548.377599999
262,78206610.892800003
263,78206673.267200008
264,78206735.974399999
265,78206798.284800008
266,78206861.145600006
267,78206923.302400008
268,78206986.022400007
269,78207048.4736
270,78207110.924800009
271,78207173.465599999
272,78207236.019199997
273,78207298.419200003
274,78207360.84480001
275,78207423.347200006
276,78207486.028800011
277,78207548.351999998
278,78207610.841600001
279,78207673.535999998
280,78207735.936000004
281,78207798.4384
282,78207861.08160001
283,78207923.417600006
284,78207986.060800001
285,78208048.460800007
286,78208111.0528
287,78208173.478400007
288,78208236.121600002
289,78208298.585600004
290,78208361.139200002
291,78208423.718400002
292,78208486.156800002
293,78208548.595200002
294,78208611.251200005
295,78208673.638400003
296,78208736.179200009
297,78208798.668799996
298,78208861.030400008
299,78208923.571199998
300,78208986.214400008
301,78209048.512000009
302,78209111.104000002
303,78209173.529600009
304,78209236.172800004
305,78209298.71360001
306,78209361.126400009
307,78209423.615999997
308,78209486.272
309,78209548.595200002
310,78209611.161600009
311,78209673.600000009
312,78209736.20480001
313,78209798.873600006
314,78209861.132799998
315,78209923.699200004
316,78209986.278400004
317,78210048.832000002
318,78210111.180800006
319,78210173.824000001
320,78210236.159999996
321,78210298.867200002
322,78210361.139200002
323,78210423.769600004
324,78210486.387199998
325,78210548.876800001
326,78210611.225600004
327,78210673.715200007
328,78210736.255999997
329,78210798.822400004
330,78210861.337600008
331,78210923.7632
332,78210986.393600002
333,78211048.895999998
334,78211111.577600002
335,78211173.887999997
336,78211236.288000003
337,78211298.88000001
338,78211361.292800009
339,78211423.948799998
340,78211486.489600003
341,78211549.900800005
342,78211611.430399999
343,78211673.996800005
344,78211736.447999999
345,78211798.924800009
346,78211861.376000002
347,78211924.147200003
348,78211986.739200011
349,78212048.870399997
350,78212111.552000001
351,78212173.849600002
352,78212236.492799997
353,78212299.097599998
354,78212361.433600008
355,78212424.089599997
356,78212486.425600007
357,78212549.209600002
358,78212611.609600008
359,78212674.112000003
360,78212736.460800007
361,78212799.014400005
362,78212861.593600005
363,78212924.032000005
364,78212986.521600008
365,78213049.100800008
366,78213111.667199999
367,78213174.003200009
368,78213236.672000006
369,78213299.212800011
370,78213361.548800007
371,78213424.038400009
372,78213486.540800005
373,78213549.196800008
374,78213611.571199998
375,78213674.048000008
376,78213736.729599997
377,78213799.334399998
378,78213861.593600005
379,78213924.224000007
380,78213986.803200006
381,78214049.356800005
382,78214112
383,78214174.144000009
384,78214236.838400006
385,78214299.18720001
386,78214361.664000005
387,78214424.1664
388,78214486.7456
389,78214549.235200003
390,78214611.711999997
391,78214674.316799998
392,78214736.832000002
393,78214799.411200002
394,78214861.772799999
395,78214924.275200009
396,78214986.764799997
397,78215049.446400002
398,78215111.872000009
399,78215174.259200007
400,78215236.91520001
401,78215299.481600001
402,78215361.843199998
403,78215424.268800005
404,78215486.771200001
405,78215549.452800006
406,78215611.840000004
407,78215674.304000005
408,78215736.98560001
409,78215799.539200008
410,78215861.900800005
