FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,Region0R,Region1G
9161,1667.651712,0,77287130.22,0.003921569,0.003921569
9162,1667.714208,0,77287190.21,0.003921569,0.003921569
9163,1667.776704,0,77287250.22,0.003923717,0.003921569
9164,1667.839232,0,77287310.22,0.003921569,0.003921569
9165,1667.901728,0,77287380.22,0.003921569,0.003921569
9166,1667.964224,0,77287440.22,0.003921569,0.003921569
9167,1668.02672,0,77287500.22,0.003921569,0.003921569
9168,1668.089216,0,77287560.22,0.003921569,0.003921569
9169,1668.151712,2,77287630.23,0.015896103,0.05420527
9170,1668.214208,1,77287690.23,0.027445251,0.035498162
9171,1668.276704,0,77287750.22,0.003921569,0.003921569
9172,1668.339232,0,77287810.23,0.003921569,0.003921569
9173,1668.401728,0,77287880.23,0.003921569,0.003921569
9174,1668.464224,0,77287940.24,0.003921569,0.003921569
9175,1668.52672,0,77288000.22,0.003921569,0.003921569
9176,1668.589216,0,77288060.22,0.003921569,0.003921569
9177,1668.651712,0,77288130.23,0.003921569,0.003921569
9178,1668.714208,0,77288190.23,0.003921569,0.003921569
9179,1668.776704,0,77288250.23,0.003868574,0.003921569
9180,1668.839232,0,77288310.23,0.003921569,0.003921569
9181,1668.901696,0,77288380.23,0.003921569,0.003921569
9182,1668.964224,0,77288440.24,0.003921569,0.003921569
9183,1669.02672,0,77288500.24,0.003921569,0.003921569
9184,1669.089216,0,77288560.23,0.003921569,0.003921569
9185,1669.151712,2,77288630.24,0.015868173,0.054077819
9186,1669.214208,1,77288690.24,0.027373638,0.035432598
9187,1669.276704,0,77288750.24,0.003921569,0.003921569
9188,1669.3392,0,77288810.24,0.003921569,0.003921569
9189,1669.401696,0,77288880.24,0.003868574,0.003921569
9190,1669.464224,0,77288940.24,0.003921569,0.003921569
9191,1669.52672,0,77289000.24,0.003921569,0.003921569
9192,1669.589216,0,77289060.24,0.003921569,0.003921569
9193,1669.651712,0,77289130.25,0.003921569,0.003921569
9194,1669.714208,0,77289190.25,0.003921569,0.003921569
9195,1669.776704,0,77289250.25,0.003923001,0.003921569
