Time,WheelAngle,WheelAngleIncr,OnWheel,WheelStart,WheelStop,Timestamp,76718204.799999997
804,0,0,0,0,0,76718207.283200011
889,0,0,0,0,0,76718285.08160001
974,0,0,0,0,0,76718370.854400009
1060,0,0,0,0,0,76718456.614399999
1146,0,0,0,0,0,76718542.451200008
1232,0,0,0,0,0,76718627.942400008
1317,0,0,0,0,0,76718713.728
1403,0,0,0,0,0,76718799.552000001
1489,0,0,0,0,0,76718885.171200007
1574,0,0,0,0,0,76718970.944000006
1660,0,0,0,0,0,76719056.67840001
1746,0,0,0,0,0,76719142.515200004
1831,0,0,0,0,0,76719228.032000005
1917,0,0,0,0,0,76719313.830400005
2003,0,0,0,0,0,76719399.385600001
2089,0,0,0,0,0,76719485.22240001
2174,0,0,0,0,0,76719571.008000001
2260,0,0,0,0,0,76719656.665600002
2346,0,0,0,0,0,76719742.412799999
2431,0,0,0,0,0,76719827.916800007
2517,0,0,0,0,0,76719913.792000011
2603,0,0,0,0,0,76719999.73120001
2688,0,0,0,0,0,76720085.120000005
2774,0,0,0,0,0,76720170.918400005
2860,0,0,0,0,0,76720256.7808
2945,0,0,0,0,0,76720342.540800005
3031,0,0,0,0,0,76720428.083200008
3117,0,0,0,0,0,76720513.740800008
3203,0,0,0,0,0,76720599.475199997
3288,0,0,0,0,0,76720685.286400005
3374,0,0,0,0,0,76720770.969600007
3460,0,0,0,0,0,76720856.691200003
3545,0,0,0,0,0,76720942.374400005
3631,0,0,0,0,0,76721027.96800001
3717,0,0,0,0,0,76721113.843199998
3802,0,0,0,0,0,76721199.449600011
3888,0,0,0,0,0,76721285.120000005
3974,0,0,0,0,0,76721371.059200004
4059,0,0,0,0,0,76721456.4736
4145,0,0,0,0,0,76721542.348800004
4231,0,0,0,0,0,76721628.032000005
4317,0,0,0,0,0,76721713.664000005
4402,0,0,0,0,0,76721799.372800007
4488,0,1,0,0,0,76721885.248000011
4574,0,1,0,0,0,76721970.944000006
4659,0,1,0,0,0,76722056.716800004
4745,0,1,0,0,0,76722142.272
4831,0,1,0,0,0,76722228.185599998
4916,0,2,0,0,0,76722313.715200007
5002,0,7,1,1,0,76722399.436800003
5088,0,14,1,0,0,76722485.286400005
5174,0,22,1,0,0,76722571.008000001
5259,0,30,1,0,0,76722656.704000011
5345,0,37,1,0,0,76722742.464000002
5431,0,43,1,0,0,76722828.13440001
5516,0,46,1,0,0,76722913.817599997
5602,0,47,1,0,0,76722999.603200004
5688,0,48,1,0,0,76723085.273599997
5773,0,48,1,0,0,76723171.059200004
5859,0,48,1,0,0,76723256.908800006
5945,0,49,1,0,0,76723342.489600003
6031,0,49,1,0,0,76723428.057600006
6116,0,50,1,0,0,76723513.894400001
6202,0,50,0,0,1,76723599.654400006
6288,0,50,0,0,0,76723685.350400001
6373,0,50,0,0,0,76723771.148800001
6459,0,50,0,0,0,76723856.998400003
6545,0,51,0,0,0,76723942.566400006
6630,0,51,0,0,0,76724028.313600004
6716,0,52,0,0,0,76724113.945600003
6802,0,53,0,0,0,76724199.718400002
6887,0,53,0,0,0,76724285.350400001
6973,0,54,0,0,0,76724371.200000003
7059,0,55,0,0,0,76724456.742400005
7144,0,56,0,0,0,76724542.425600007
7230,0,56,0,0,0,76724628.083200008
7316,0,57,0,0,0,76724713.830400005
7402,0,58,0,0,0,76724799.59040001
7487,0,59,0,0,0,76724885.299199998
7573,0,60,0,0,0,76724971.059200004
7659,0,61,0,0,0,76725056.640000001
7744,0,62,0,0,0,76725142.361599997
7830,0,63,0,0,0,76725228.108800009
7916,0,64,0,0,0,76725313.894400001
8001,0,65,0,0,0,76725399.513600007
8087,0,66,0,0,0,76725485.248000011
8173,0,67,0,0,0,76725570.918400005
8258,0,68,0,0,0,76725656.588799998
8344,0,69,0,0,0,76725742.323200002
8430,0,70,0,0,0,76725828.121600002
8515,0,71,0,0,0,76725913.792000011
8601,0,71,0,0,0,76725999.564800009
8687,0,72,0,0,0,76726085.196800008
8773,0,73,0,0,0,76726170.918400005
8858,0,74,0,0,0,76726256.755199999
8944,0,75,0,0,0,76726342.387199998
9030,0,76,0,0,0,76726428.044799998
9115,0,76,0,0,0,76726513.792000011
9201,0,77,0,0,0,76726599.385600001
9287,0,78,0,0,0,76726685.286400005
9372,0,78,0,0,0,76726770.931199998
9458,0,79,0,0,0,76726856.652800009
9544,0,79,0,0,0,76726942.259200007
9629,0,80,0,0,0,76727028.13440001
9715,0,80,0,0,0,76727113.894400001
9801,0,81,0,0,0,76727199.500799999
9887,0,81,0,0,0,76727285.235200003
9972,0,81,0,0,0,76727370.905599996
10058,0,82,0,0,0,76727456.704000011
10144,0,82,0,0,0,76727542.540800005
10229,0,82,0,0,0,76727628.121600002
10315,0,83,0,0,0,76727713.907200009
10401,0,83,0,0,0,76727799.59040001
10486,0,84,0,0,0,76727885.273599997
10572,0,84,0,0,0,76727970.892800003
10659,0,84,0,0,0,76728056.665600002
10743,0,85,0,0,0,76728142.540800005
10830,0,86,0,0,0,76728228.185599998
10916,0,87,1,1,0,76728313.971200004
11002,0,89,1,0,0,76728399.500799999
11087,0,91,1,0,0,76728485.209600002
11173,0,93,1,0,0,76728571.097599998
11259,0,94,1,0,0,76728656.755199999
11344,0,95,1,0,0,76728742.5792
11430,0,96,1,0,0,76728828.083200008
11516,0,96,1,0,0,76728913.779200003
11601,0,98,1,0,0,76728999.577600002
11687,0,101,1,0,0,76729085.273599997
11773,0,103,1,0,0,76729171.059200004
11858,0,108,1,0,0,76729256.921599999
11944,0,112,1,0,0,76729342.566400006
